                    .;04/2024-03/2025;04/2025-03/2026;Minimum 04/2018-03/2021;Maximum 04/2018-03/2021
01.04.;66,38;29,14;14,29;72,53
02.04.;66,74;29,21;14,25;72,37
03.04.;66,73;29,26;14,26;72,26
04.04.;66,53;29,36;14,36;72,33
05.04.;66,66;29,53;14,37;72,50
06.04.;66,98;29,58;14,41;72,66
07.04.;67,38;29,40;14,60;72,82
08.04.;67,75;29,29;14,88;72,98
09.04.;67,89;29,21;15,05;73,19
10.04.;67,96;29,14;15,15;73,46
11.04.;68,07;29,15;15,26;73,78
12.04.;68,35;29,37;15,40;74,17
13.04.;68,74;29,62;15,48;74,42
14.04.;69,10;29,77;15,67;74,42
15.04.;69,23;30,01;15,90;74,45
16.04.;69,13;30,14;16,00;74,60
17.04.;68,90;30,22;16,27;74,78
18.04.;68,61;30,42;16,62;75,20
19.04.;68,46;30,69;17,07;75,61
20.04.;68,41;31,02;17,48;75,84
21.04.;68,30;31,28;18,01;76,11
22.04.;67,93;31,37;18,66;76,38
23.04.;67,54;31,46;19,00;76,58
24.04.;67,20;31,51;19,33;76,83
25.04.;66,88;31,63;19,67;77,14
26.04.;66,78;31,87;19,99;77,42
27.04.;66,89;32,15;20,19;77,54
28.04.;67,07;32,38;20,58;77,68
29.04.;67,21;32,64;21,03;77,90
30.04.;67,44;32,98;21,35;78,18
01.05.;67,66;33,40;21,62;78,48
02.05.;67,56;33,81;21,80;78,78
03.05.;67,65;34,23;22,02;79,06
04.05.;67,80;34,60;22,29;79,20
05.05.;67,97;34,75;22,69;79,30
06.05.;67,98;34,73;23,17;79,40
07.05.;67,96;34,86;23,66;79,58
08.05.;67,90;35,07;24,20;79,97
09.05.;68,08;35,19;24,73;80,47
10.05.;68,32;35,37;25,33;80,99
11.05.;68,68;35,71;25,92;81,25
12.05.;69,06;36,01;26,60;81,11
13.05.;69,38;36,19;27,30;81,13
14.05.;69,70;36,47;27,85;81,17
15.05.;70,00;36,68;28,35;81,27
16.05.;70,22;36,87;28,78;81,52
17.05.;70,48;37,20;29,25;81,87
18.05.;70,80;37,47;29,67;82,11
19.05.;71,10;37,64;30,09;82,28
20.05.;71,37;37,82;30,60;82,46
21.05.;71,44;37,73;31,16;82,78
22.05.;71,60;37,86;31,73;83,19
23.05.;71,80;37,93;32,26;83,55
24.05.;71,91;38,12;32,65;83,84
25.05.;72,07;38,45;33,14;84,12
26.05.;72,25;38,65;33,72;84,27
27.05.;72,38;38,83;34,35;84,27
28.05.;72,48;39,04;34,89;84,22
29.05.;72,57;39,36;35,38;84,28
30.05.;72,66;39,75;35,79;84,53
31.05.;72,84;40,26;36,14;84,77
01.06.;72,87;41,12;36,42;85,03
02.06.;73,11;41,38;36,86;85,17
03.06.;73,19;41,61;37,32;85,31
04.06.;73,35;41,93;37,67;85,43
05.06.;73,52;42,08;37,86;85,50
06.06.;73,90;42,44;38,20;85,71
07.06.;74,13;42,91;38,52;85,90
08.06.;74,46;43,34;38,80;85,69
09.06.;74,77;43,72;39,18;85,73
10.06.;75,20;44,06;39,58;85,72
11.06.;75,39;44,34;39,91;85,85
12.06.;75,54;44,62;40,29;86,03
13.06.;75,73;44,90;40,65;86,32
14.06.;76,06;45,36;41,06;86,65
15.06.;76,17;45,80;41,25;86,83
16.06.;75,64;46,06;41,60;86,92
17.06.;76,78;46,31;41,97;86,98
18.06.;77,00;46,59;42,24;87,05
19.06.;77,31;46,92;42,49;87,15
20.06.;77,59;47,23;42,72;87,39
21.06.;77,88;47,70;42,92;87,67
22.06.;78,34;48,18;43,41;87,77
23.06.;78,78;48,50;43,51;87,87
24.06.;79,06;48,82;43,88;87,94
25.06.;79,38;48,98;44,18;88,03
26.06.;79,72;49,04;44,46;88,15
27.06.;80,07;49,46;44,78;88,37
28.06.;80,46;49,87;45,18;88,59
29.06.;80,89;50,34;45,70;88,70
30.06.;81,31;50,66;46,31;88,85
01.07.;81,58;50,94;47,01;88,94
02.07.;81,87;51,29;47,60;88,98
03.07.;82,16;51,55;48,09;89,25
04.07.;82,46;51,86;48,54;89,58
05.07.;82,81;52,28;49,07;89,91
06.07.;83,12;52,67;49,64;89,95
07.07.;83,42;52,91;50,27;89,92
08.07.;83,75;54,76;50,91;89,89
09.07.;84,09;53,52;51,34;89,80
10.07.;84,35;54,00;51,66;89,85
11.07.;84,58;54,35;51,97;89,98
12.07.;84,78;54,90;52,32;90,20
13.07.;85,03;55,34;52,68;90,33
14.07.;85,31;55,58;53,22;90,25
15.07.;85,56;55,82;53,78;90,09
16.07.;85,87;56,08;54,19;89,93
17.07.;86,13;56,27;54,44;89,80
18.07.;86,37;56,53;54,63;89,72
19.07.;86,68;56,98;54,74;89,66
20.07.;87,07;57,42;54,93;89,51
21.07.;87,43;57,67;55,21;89,27
22.07.;87,68;57,95;55,51;88,94
23.07.;87,90;58,20;55,73;88,72
24.07.;88,10;58,36;55,89;88,55
25.07.;88,28;58,60;56,05;88,42
26.07.;88,42;59,00;56,21;88,63
27.07.;88,64;59,45;56,48;88,70
28.07.;88,86;59,85;56,85;88,76
29.07.;89,03;60,19;57,22;88,87
30.07.;89,19;60,56;57,64;88,88
31.07.;89,36;60,80;58,10;88,95
01.08.;89,41;61,02;59,27;89,17
02.08.;89,62;61,60;58,90;89,39
03.08.;89,89;62,07;59,28;89,52
04.08.;90,16;62,46;59,85;89,61
05.08.;90,43;62,90;60,42;89,78
06.08.;90,48;63,26;60,86;89,88
07.08.;90,69;63,60;61,36;90,04
08.08.;90,92;63,94;61,82;90,29
09.08.;91,17;64,22;62,26;90,53
10.08.;91,45;64,68;62,84;90,71
11.08.;91,70;65,04;63,51;91,16
12.08.;91,94;65,18;64,15;91,44
13.08.;92,17;65,43;64,70;91,64
14.08.;92,25;65,73;65,14;91,80
15.08.;92,45;66,12;65,68;92,05
16.08.;92,68;66,48;66,19;92,33
17.08.;92,98;66,85;66,76;92,73
18.08.;93,30;67,11;67,40;93,13
19.08.;93,44;67,41;68,03;93,49
20.08.;93,61;67,66;68,46;93,73
21.08.;93,81;67,94;68,88;93,94
22.08.;94,01;68,19;69,25;94,13
23.08.;94,22;68,56;69,60;94,36
24.08.;94,21;68,91;69,97;94,61
25.08.;94,51;69,17;70,49;94,88
26.08.;94,68;69,42;70,97;95,00
27.08.;94,80;69,60;71,42;95,17
28.08.;94,96;69,92;71,73;95,29
29.08.;94,94;70,26;71,98;95,27
30.08.;95,05;70,65;72,20;95,43
31.08.;95,23;71,05;72,40;95,72
01.09.;94,95;72,54;72,70;96,00
